Timestamp,Latency (ms),Throughput (Mbps),CPU Usage (%),Memory Usage (%)
1734408340,9.67,0.09941571910318153,3.2,44.6
1734408341,4.53,0.1748421403668334,1.1,44.6
1734408342,115.0,0.13765150742149623,0.9,44.6
1734408343,3.53,0.23793174152957558,1.7,44.6
1734408344,3.89,0.18552896895608814,3.0,44.6
1734408345,4.92,0.17813302445898727,2.8,44.6
1734408346,8.75,0.18710143963664383,2.1,44.6
1734408347,7.14,0.19937058531210164,2.9,44.6
1734408348,3.2,0.16490874452685195,3.0,44.6
1734408349,3.99,0.20608068608182956,2.4,44.6
1734408350,8.29,0.2449943925233645,2.8,44.6
1734408351,4.38,0.17667666385846673,2.6,44.6
1734408352,10.0,0.2493640903686088,2.2,44.6
1734408353,4.66,0.1834924594336621,2.7,44.6
1734408354,1.62,0.13249671610930028,2.9,44.5
1734408355,3.74,0.10949496042623379,3.3,44.5
1734408356,4.41,0.18222419526837552,3.1,44.5
1734408357,5.12,0.17859847481902993,3.0,44.6
1734408358,5.51,0.18098754118939275,4.2,44.7
1734408359,3.25,0.24749138504452312,3.5,44.7
1734408360,4.14,0.18268597901405662,3.0,44.7
1734408361,1.93,0.24651943041863697,2.9,44.7
1734408362,7.67,0.17895523534317243,2.0,44.6
1734408363,6.34,0.17673757517716912,2.6,44.6
1734408364,4.31,0.2556652111271196,3.4,44.6
1734408365,3.89,0.25127219453748334,2.4,44.6
1734408366,4.53,0.18202648886434025,3.6,44.6
1734408367,5.9,0.009970349576603123,2.8,44.6
1734408368,6.75,0.1776255327340276,2.2,44.6
1734408369,2.93,0.1764401850931202,2.9,44.6
1734408370,4.55,0.05314780525172936,2.6,44.6
1734408371,5.19,0.13411043964828137,2.4,44.6
1734408372,6.56,0.1359319535082421,3.3,44.6
1734408373,71.3,0.17764947056332062,1.8,44.6
1734408374,3.02,0.18493403880070547,1.8,44.6
1734408376,135.0,0.25302226000164524,1.3,44.6
1734408387,0,0.18010439942225864,1.0,44.6
1734408388,4.05,0.08808703056685187,1.8,44.6
1734408389,3.59,0.13437213379738172,1.2,44.6
1734408390,124.0,0.13432323279375802,1.5,44.6
1734408391,7.2,0.015622407628128724,2.8,44.6
1734408392,5.7,0.22502728381212506,2.6,44.6
1734408393,113.0,0.22386445086004028,2.2,44.6
1734408394,3.72,0.22664117502578965,2.9,44.6
1734408395,2.88,0.22656326851306227,2.7,44.6
1734408396,3.3,0.22199559255160467,2.8,44.6
1734408397,5.25,0.2257595185085509,2.3,44.6
1734408398,4.18,0.22621889678842855,2.8,44.6
1734408399,7.84,0.22060506837525104,2.5,44.6
