Timestamp,Latency (ms),Throughput (Mbps),CPU Usage (%),Memory Usage (%)
1734408118,9.52,0.0958827561125139,2.8,44.3
1734408119,7.61,0.17501458159471966,2.7,44.4
1734408120,3.7,0.17557737227666254,1.2,44.4
1734408121,3.63,0.13960073223498087,1.5,44.3
1734408122,3.93,0.10720764020401762,2.3,44.3
1734408123,7.82,0.18383242952485307,2.3,44.4
1734408124,4.85,0.17848102127659574,2.8,44.3
1734408125,113.0,0.18004817170731707,1.8,44.3
1734408126,5.27,0.17645368111064366,2.4,44.3
1734408127,11.3,0.05279929505335736,1.7,44.2
1734408128,4.49,0.0557069649789004,2.3,44.2
1734408129,5.1,0.1865982245050656,2.7,44.2
1734408130,3.7,0.15174262127939483,0.3,44.2
1734408131,3.61,0.22654658122805726,2.8,44.2
1734408132,4.23,0.16826471671620563,2.5,44.2
1734408133,3.25,0.13525649790390196,3.2,44.2
1734408134,14.6,0.2274063829262883,2.3,44.2
1734408135,5.24,0.22170223685158935,2.4,44.2
1734408136,2.76,0.1346623586241116,2.4,44.2
1734408137,4.75,0.22408734761280294,2.9,44.2
1734408138,5.06,0.22980198236788366,2.9,44.2
1734408139,3.66,0.16117004873107085,2.9,44.2
1734408140,2.64,0.24715330922726664,2.9,44.2
1734408141,3.68,0.13050474924334568,2.6,44.2
1734408142,3.49,0.22539555924668409,0.5,44.2
1734408143,117.0,0.23096387665198237,1.8,44.2
1734408144,14.3,0.21971210057621793,3.0,44.2
1734408145,3.73,0.2282670888581041,2.9,44.2
1734408146,4.39,0.22345785828449655,2.3,44.2
1734408147,3.5,0.21913293595193425,2.9,44.2
1734408148,6.06,0.22900354395195313,2.1,44.2
1734408149,6.72,0.22331725072604067,2.1,44.3
1734408150,4.77,0.23200333894853292,2.6,44.3
1734408151,2.23,0.2253405162519231,3.6,44.3
1734408152,3.38,0.16683485147082752,3.8,44.3
1734408153,3.54,0.22118144730218844,3.3,44.3
1734408154,4.08,0.22802453357056368,3.9,44.3
1734408155,4.25,0.22206504464178278,3.9,44.3
1734408156,4.38,0.16859059068569235,3.2,44.3
1734408157,5.56,0.22315523095525996,3.3,44.3
1734408158,9.65,0.13764945402470313,2.3,44.3
1734408159,4.07,0.22118144730218844,2.6,44.3
1734408160,3.05,0.2203732518150554,0.8,44.3
1734408161,5.53,0.1698505126364423,2.3,44.3
1734408162,4.18,0.12419538614767557,2.2,44.3
1734408163,4.77,0.22171289074701458,2.7,44.2
1734408164,4.49,0.09490156327135099,3.1,44.3
1734408165,3.68,0.22508766434931088,1.3,44.2
1734408166,17.5,0.22322001064395955,1.8,44.3
1734408167,4.14,0.16691029592648868,3.7,44.3
1734408168,103.0,0.23147373068432672,1.6,44.3
1734408169,4.85,0.22356072198667473,1.7,44.3
1734408170,4.81,0.1120042337804212,0.6,44.3
1734408171,3.81,0.13608230297310053,2.8,44.3
1734408172,6.72,0.14958773141393508,0.3,44.3
1734408173,18.4,0.1688373703181893,2.6,44.3
1734408174,2.49,0.16917787433767853,2.5,44.2
1734408175,3.74,0.1346230658127015,2.5,44.2
1734408176,4.3,0.22381015304761212,1.8,44.2
1734408177,2.25,0.23026648366730718,2.8,44.2
