Timestamp,Latency (ms),Throughput (Mbps),CPU Usage (%),Memory Usage (%)
1734408503,9.94,0.05950326487183621,1.6,44.9
1734408504,32.8,0.010075580815112057,1.7,44.8
1734408505,4.8,0.14229161282363645,1.6,44.8
1734408506,10.2,0.1089944342074179,1.4,44.8
1734408507,7.48,0.14024361359353152,1.3,44.8
1734408508,10.6,0.1394530490108661,0.9,44.8
1734408509,7.01,0.17661579451058454,1.7,44.8
1734408510,7.13,0.1739259773061409,1.8,44.8
1734408511,117.0,0.14007117506868863,3.0,44.7
1734408512,14.7,0.1789274747435574,2.4,44.7
1734408513,64.5,0.17823624809256147,2.3,44.7
1734408514,37.9,0.25474763403456463,2.3,44.8
1734408516,28.2,0.1744949755110531,1.8,44.8
1734408517,24.5,0.1737556735585433,1.6,44.8
1734408518,55.0,0.011306052664145081,1.0,44.8
1734408519,130.0,0.09812489419170974,1.6,44.8
1734408520,71.1,0.00867104767095483,1.0,44.9
1734408521,73.4,0.04875912198936833,1.9,44.9
1734408522,175.0,0.104201603541342,1.7,44.9
1734408523,109.0,0.22108605793420705,0.8,44.9
1734408524,70.2,0.22619671520321616,1.0,44.9
1734408525,118.0,0.22219872856867656,0.8,44.9
1734408526,34.3,0.16846131994523048,0.5,44.9
1734408528,102.0,0.22631321707993035,1.3,44.9
1734408529,80.4,0.0438749330759392,0.5,44.9
1734408530,61.1,0.13417869419805148,0.8,44.9
1734408531,41.4,0.22447439122290608,0.3,44.9
1734408542,0,0.05812212648022172,0.7,44.9
1734408543,204.0,0.0657255210336624,0.4,44.9
1734408554,0,0.05942203017638308,1.2,44.9
1734408555,486.0,0.06389373143422956,0.8,44.9
1734408557,328.0,0.058680246740858505,0.4,44.9
1734408558,151.0,0.051612097211734764,0.4,44.9
1734408559,50.8,0.16953221260724982,0.4,44.9
1734408560,64.1,0.22032589479716339,0.7,44.9
1734408561,43.8,0.1700069790150524,3.1,45.6
1734408562,82.0,0.2224022366835382,0.4,45.5
