Timestamp,Latency (ms),Throughput (Mbps),CPU Usage (%),Memory Usage (%)
1750056680,51.5,0.15210659599196139,4.5,66.6
1750056681,51.0,0.15395239576048675,3.9,66.5
1750056682,50.8,0.12938270242980465,3.3,66.5
1750056683,50.7,0.06891053247541601,3.1,66.4
1750056684,50.8,0.16277258270891207,2.9,66.4
1750056685,51.1,0.1489351198889584,3.5,66.5
1750056686,50.7,0.15468753731643664,4.0,66.4
1750056687,50.9,0.14802186372531706,3.6,66.4
1750056689,50.6,0.048452666820206,4.4,66.4
1750056690,51.0,0.15455349984841685,2.9,66.4
1750056691,51.2,0.12240217633671514,2.5,66.4
1750056692,50.4,0.16425843284215572,3.0,66.3
1750056693,50.5,0.15330365388967931,3.4,66.3
1750056694,50.7,0.1287829031702182,3.5,66.3
1750056695,51.5,0.1540791763164671,2.7,66.3
1750056696,50.7,0.1176050610959859,2.5,66.2
1750056697,50.5,0.15068239698604105,3.2,66.2
1750056698,50.9,0.15623897512055387,4.2,66.2
1750056699,50.6,0.155925199802811,3.3,66.2
1750056700,50.6,0.15116615409376252,2.6,66.2
1750056701,50.7,0.15355121246972506,5.5,66.5
1750056702,50.9,0.15315166754026316,3.4,66.6
1750056703,50.8,0.15605734972653165,3.7,66.6
1750056704,50.5,0.1548536673545064,12.9,66.6
1750056705,50.9,0.13778328156756817,4.8,66.6
1750056706,50.8,0.16299723401112856,3.1,66.5
1750056708,50.6,0.1492980754189291,3.4,66.1
1750056709,50.6,0.151044718207907,3.2,66.1
1750056710,50.9,0.12748058828550832,3.5,66.1
1750056711,50.8,0.1533516944363428,2.8,66.0
1750056712,50.7,0.15307860638735635,2.9,66.0
1750056713,51.0,0.1295552412544737,3.4,66.0
1750056714,50.8,0.11431531640605483,3.5,66.0
1750056715,50.6,0.15033307761125853,3.0,65.9
1750056716,50.5,0.13004961002949772,3.1,65.9
1750056717,50.8,0.15754045120137247,9.8,66.5
1750056718,50.4,0.1542309062958295,5.3,65.8
1750056719,51.0,0.1533554443809515,5.4,65.8
1750056720,50.6,0.15274659282258346,3.4,65.6
1750056721,50.6,0.1476964997716609,3.3,65.6
1750056722,50.7,0.08352703528785196,2.9,65.6
1750056723,50.8,0.1485442253241129,3.5,65.6
1750056724,50.7,0.15137090535930464,4.6,65.4
1750056725,50.9,0.15095130079569535,3.2,65.4
1750056727,52.6,0.1551300265914508,3.2,65.5
1750056728,50.6,0.11587665878925582,3.4,65.5
1750056729,51.2,0.14747416615875014,2.8,65.5
1750056730,50.9,0.1627550177379914,4.2,65.5
1750056731,50.6,0.14983688121777633,3.3,65.5
1750056732,50.7,0.15583292616510358,2.9,65.4
1750056733,50.5,0.16374849281262419,3.6,65.4
1750056734,50.6,0.07608186746244062,2.8,65.4
1750056735,50.9,,2.8,65.4
1750056736,50.8,,2.8,65.4
1750056737,50.6,,3.0,65.4
1750056738,50.5,,3.4,65.4
1750056739,50.7,,6.5,65.9
