Timestamp,Latency (ms),Throughput (Mbps),CPU Usage (%),Memory Usage (%)
1734357453,0.086,0.07993504695933473,12.3,75.4
1734357454,0.087,0.3060773190615638,13.5,75.3
1734357455,0.059,0.19933908569173772,13.1,75.3
1734357456,0.058,0.36320702476433936,15.0,76.1
1734357457,0.125,0.314601822308331,12.2,76.1
1734357458,0.055,0.3244692621587868,13.5,76.1
1734357459,0.074,0.3599149444686325,11.9,76.0
1734357460,0.058,0.41280420700926096,11.7,75.9
1734357461,0.071,0.39559954198207603,11.7,75.9
1734357462,0.069,0.5363800549755205,12.7,75.9
1734357463,0.073,1.0173697775788768,12.8,75.8
1734357464,0.058,1.2164884377257525,12.4,75.8
1734357465,0.059,1.2403834500068203,12.1,75.8
1734357466,0.056,0.9842245991990475,11.8,75.8
1734357467,0.057,1.0387538350468357,13.4,75.8
